title,engine_size,engine_type,total_kms,price,link
SPOTLIGHT,2016,2.0 Diesel,"161,459 mi","€11,500",/cars-for-sale/bmw-320d-ed-162/37698367?campaign=3
BMW 330d XDrive MSport,2016,3.0 Diesel,"69,820 mi",No price found,/cars-for-sale/bmw-330d-xdrive-msport/34985933
335D M SPORT XDRIVE LCI,2015,3.0 Diesel,100 mi,"€27,750",/cars-for-sale/335d-m-sport-xdrive-lci/37458526
BMW 3-Series 2014,2014,2.0 Diesel,"116,000 km",No price found,/cars-for-sale/bmw-3-series-2014/36552004
O'Connell Automotive Ltd,Independent Dealer,2015,2.0 Diesel,"€12,599",/cars-for-sale/2015-bmw-3-series-2-0d-se-automatic/35894616
Autosource.ie/Autosource,Independent Dealer,2015,2.0 Diesel,"€9,995",/cars-for-sale/bmw-320d-sport-very-clean-vehicle/37648058
BMW 320,2014,2.0 Diesel,"166,118 mi","€7,000",/cars-for-sale/bmw-320/37647563
BMW 318D Automatic - Low Mile - full bmw serv hist,2016,2.0 Diesel,"98,027 km","€15,900",/cars-for-sale/bmw-318d-automatic-low-mile-full-bmw-serv-hist/37432967
BMW 3-Series 2015 M Performance (NCT 2026),2015,2.0 Diesel,"101,779 km","€16,750",/cars-for-sale/bmw-3-series-2015-m-performance-nct-2026/37431999
"BMW 3-Series 2016, 252bhp.",2016,2.0 Petrol Plug-in Hybrid,"235,000 km","€14,000",/cars-for-sale/bmw-3-series-2016-252bhp-/36962845
Bmw 320D Msport,2015,2.0 Diesel,"73,000 km","€17,950",/cars-for-sale/bmw-320d-msport/37430182
Autoxpress,Independent Dealer,2015,2.0 Petrol,"€20,995",/cars-for-sale/bmw-3-series-320i-gt-sport-automatic-reverse-cam/37641291
VERY LOW MILES! AUTOMATIC! 318D BMW,2014,2.0 Diesel,"105,000 mi","€8,750",/cars-for-sale/very-low-miles-automatic-318d-bmw/37639804
O'Connell Automotive Ltd,Independent Dealer,2016,2.0 Diesel,"€11,999",/cars-for-sale/2016-bmw-3-series-2-0d-sport/37513482
GE Motors,Independent Dealer,2015,2.0 Diesel,"€14,995",/cars-for-sale/152-bmw-3-series-x-maxton-kit-like-new/37180929
Tom Hand Cars,Independent Dealer,2014,2.0 Diesel,"€14,445",/cars-for-sale/bmw-320d-f30-m-sport-2014-sunroof-model/37538419
Autoxpress,Independent Dealer,2014,2.0 Diesel,"€7,995",/cars-for-sale/bmw-3-series-316d-es-z3ao-116-bhp-4dr/37633753
Weirs Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€18,950",/cars-for-sale/bmw-3-series-f30-330e-m-sport-4dr-auto/37633219
Bluegate Car Store by Frank Keane,Franchise Dealer,2015,2.0 Diesel,"€14,995",/cars-for-sale/bmw-3-series-d-sport-4dr-cream-leather-interior-s/37633228
