title,engine_size,engine_type,total_kms,price,link
Roskeen Cars And Commercials,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/audi-a4-2-0-tdi-se-ultra-150-bhp/35015813
O'Neill's,Independent Dealer,2016,2.0 Diesel,"€18,999",/cars-for-sale/audi-a4-2016-avant-2-0-tdi-150-s-tronic-sline-auto/36032016
2014 Audi a4 tdi,2014,2.0 Diesel,"286,145 km","€6,450",/cars-for-sale/2014-audi-a4-tdi/37593215
JPS Car Sales,Independent Dealer,2015,2.0 Diesel,"€9,850",/cars-for-sale/audi-a4-2-0tdi-136hp-ultra-se/37652639
JMC Car Sales,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/stunning-audi-a4-sline/37702836
Eds Car Sales Fermoy,Independent Dealer,2014,1.8 Petrol,"€15,950",/cars-for-sale/audi-a4-s-line-black-edition-1-8-tfsi-170-bhp-2014/37496120
Audi A4 S-Line 2.0 TDI,2015,2.0 Diesel,"215,472 km","€13,700",/cars-for-sale/audi-a4-s-line-2-0-tdi/37542510
Leinster Trade Cars,Independent Dealer,2015,2.0 Diesel,"€13,995",/cars-for-sale/2015-audi-a4auto-full-leather-nct-2026/37484559
Weirs Motors,Independent Dealer,2016,1.4 Petrol,"€19,900",/cars-for-sale/audi-a4-1-4-tfsi-150-se-ultra-digital-dash-4dr/37580974
Audi A4 S-line quattro 2.0 Diesel automatic 190bhp,2016,2.0 Diesel,"133,000 km","€22,000",/cars-for-sale/audi-a4-s-line-quattro-2-0-diesel-automatic-190bhp/37573599
GMG Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/audi-a4-mint-condition-fash-2-0-tdi-120-se-4dr/37041544
GREENHILLS AUTOPOINT,Independent Dealer,2014,2.0 Diesel,"€11,995",/cars-for-sale/141-audi-a4-service-hist-warranty-nct-tax-v-clean/37699002
Audi A4 Sline 190bhp highspec!,2016,2.0 Diesel,"231,055 km","€15,750",/cars-for-sale/audi-a4-sline-190bhp-highspec/37592405
Audi A4 Ultra,2015,2.0 Diesel,"250,000 km","€9,400",/cars-for-sale/audi-a4-ultra/37644153
P McCaffrey Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/2015-audi-a4-2-0-tdi-ultra-se-163ps-black-edition/37698456
162 Audi A4 150BHP,2016,2.0 Diesel,"180,000 km","€14,500",/cars-for-sale/162-audi-a4-150bhp/37579267
Audi A4 2 years NCT,2014,2.0 Diesel,"120,000 mi","€8,950",/cars-for-sale/audi-a4-2-years-nct/37484658
Ratoath Motor Centre,Independent Dealer,2014,1.8 Petrol,"€12,950",/cars-for-sale/audi-a4-1-8tfsi-se-technik-automatic-avant/37030777
Audi A4 LIKE NEW,2014,2.0 Diesel,"163,250 mi","€7,000",/cars-for-sale/audi-a4-like-new/37516609
2014 Audi A4,2014,2.0 Diesel,"257,000 km","€11,250",/cars-for-sale/2014-audi-a4/37695887
Audi A4 2015 2.0 TDI S Line,2015,2.0 Diesel,"172,000 mi","€5,999",/cars-for-sale/audi-a4-2015-2-0-tdi-s-line/37695826
Audi A4 2015,2015,2.0 Diesel,"180,254 km","€12,850",/cars-for-sale/audi-a4-2015/37641228
"Audi A4 2016 115,000 miles only R/lie  150 BHP",2016,2.0 Diesel,"116,000 mi","€14,000",/cars-for-sale/audi-a4-2016-115-000-miles-only-r-lie-150-bhp/36969399
Superior Autos,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-audi-a4-s-line-auto-150bhp/37667783?campaign=3
GMG Motors,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/audi-a4-mint-condition-fash-2-0-tdi-120-se-4dr/37041544?campaign=3
SPOTLIGHT,2015,2.0 Diesel,149 mi,"€15,250",/cars-for-sale/audi-a4/37512981?campaign=3
Audi A4 2016,2016,2.0 Diesel,"105,000 mi",€0,/cars-for-sale/audi-a4-2016/37658532
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€21,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-digital-dash/37357225
Automatic Motor Car Centre,Independent Dealer,2016,2.0 Petrol,"€22,950",/cars-for-sale/audi-a4-audi-a4-automatic-2-0-tfsi-sport-digita/37357226
R Neary Motors,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/2016-161-audi-a4-s-line-black-ed-auto/37380136
Ace Autos,Independent Dealer,2015,2.0 Diesel,"€12,950",/cars-for-sale/audi-a4-2-0l-diesel-manual-very-clean-car/37656213
O'Connell Automotive Ltd,Independent Dealer,2014,2.0 Diesel,"€11,999",/cars-for-sale/2014-audi-a4-2-0-tdi-s-line-avant/37530505
2016 audi a4,2016,2.0 Diesel,"198,000 km","€14,500",/cars-for-sale/2016-audi-a4/37653222
AUDI A4 ESTATE (LOW MILES)NEW NCT,2016,2.0 Diesel,"115,000 mi","€11,950",/cars-for-sale/audi-a4-estate-low-milesnew-nct/37653038
Martin Murphy Car Sales,Independent Dealer,2014,2.0 Diesel,"€11,950",/cars-for-sale/audi-a4-2-0-tdi-technik-177-bhp/37129806
Michael Grant Motors,Independent Dealer4.6/5,2016,2.0 Diesel,"€21,900",/cars-for-sale/audi-a4-2-0-tdi-s-line-s-tronic-automatic-estate/37321369
Ray Crofton Ltd,Franchise Dealer4.7/5,2016,2.0 Diesel,"€18,950",/cars-for-sale/audi-a4-2-0tdi-150hp-se-ultra/36730822
162 Audi A4 SE Ultra,2016,2.0 Diesel,"172,000 mi","€13,850",/cars-for-sale/162-audi-a4-se-ultra/37649097
Audi a4,2014,2.0 Diesel,"191,000 km","€9,000",/cars-for-sale/audi-a4/37320997
National Motors,Independent Dealer,2015,2.0 Diesel,"€12,995",/cars-for-sale/2015-audi-a4-avant-se-technik-ultra-2-0-tdi-136hp/37194255
Audi A4 2016 Full Audi Service History,2016,2.0 Diesel,"130,000 km","€15,950",/cars-for-sale/audi-a4-2016-full-audi-service-history/36800817
O'Connell Automotive Ltd,Independent Dealer,2014,2.0 Diesel,"€9,999",/cars-for-sale/2014-audi-a4-2-0-tdi-s-line-avant/37304538
Audi A4 2016,2016,2.0 Diesel,10 days,"€10,500",/cars-for-sale/audi-a4-2016/37644589
2014 Audi A4 Facelift Automatic - Leather Interior,2014,2.0 Diesel,229 mi,"€6,750",/cars-for-sale/2014-audi-a4-facelift-automatic-leather-interior/36555379
2014 Audi A4 S Line,2014,2.0 Diesel,"175,000 mi","€10,550",/cars-for-sale/2014-audi-a4-s-line/37643396
