title,engine_size,engine_type,total_kms,price,link
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334?campaign=3
SPOTLIGHT,2015,2.0 Diesel,"140,600 km","€14,250",/cars-for-sale/152-bmw-f31-b47-2-0d-160-kilometers/37650457?campaign=3
Petersons,Independent Dealer,2016,2.0 Diesel,"€16,950",/cars-for-sale/bmw-3-series-318d-se-zlbt-4dr-automatic/36581090?campaign=3
BMW 3-Series 2014,2014,2.0 Diesel,"280,000 km","€7,500",/cars-for-sale/bmw-3-series-2014/37465281
Diamond Car Sales,Independent Dealer4.5/5,2014,2.0 Diesel,"€8,950",/cars-for-sale/2014-bmw-320-automatic/37483597
N2 Car Sales,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/162-bmw-3-luxury-2-0d-auto-new-nct-top-spec/37055382
P K Motors,Franchise Dealer,2015,2.0 Diesel,"€17,800",/cars-for-sale/bmw-3-series-2015/37623495
Auto Solutions Weston,Independent Dealer,2015,2.0 Diesel,"€12,950",/cars-for-sale/bmw-318d-se-sport-full-service-history/37036767
Bmw 318 sport,2014,2.0 Diesel,"123,000 mi",No price found,/cars-for-sale/bmw-318-sport/37623069
Evra Motors,Independent Dealer,2016,2.0 Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37074373
Evra Motors,Independent Dealer,2016,2.0 Petrol Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37074375
Evra Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37005583
Evra Motors,Independent Dealer,2015,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-se-2-0-diesel/37087115
BMW 320d F30 M Sport,2015,2.0 Diesel,"79,000 mi","€17,600",/cars-for-sale/bmw-320d-f30-m-sport/37566642
BMW 318D SE 2015,2015,2.0 Diesel,"206,000 km","€12,000",/cars-for-sale/bmw-318d-se-2015/37461795
JVC Motors,Independent Dealer,2014,2.0 Diesel,"€7,600",/cars-for-sale/bmw-3-series-2014/37620904
BMW 320d 2016 NEW NCT 2026,2016,2.0 Diesel,"129,999 mi","€13,750",/cars-for-sale/bmw-320d-2016-new-nct-2026/37217782
Gallaghers Cars,Independent Dealer,2014,2.0 Diesel,"€12,750",/cars-for-sale/bmw-3-series-142-320d-luxury-2-0-diesel/37161000
D & L O'Connell Bros Car Sales LTD,Independent Dealer,2015,2.0 Diesel,"€16,900",/cars-for-sale/bmw-3-series-f30-d-m-sport-4dr-auto/36627643
Bmw 325d M Sport Limited Edition,2014,2.0 Diesel,"248,000 km","€13,950",/cars-for-sale/bmw-325d-m-sport-limited-edition/37114430
BMW 318D M-sport,2014,2.0 Diesel,"127,500 mi","€12,500",/cars-for-sale/bmw-318d-m-sport/36589344
Conor Logue Motors,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/2015-151-bmw-318d-msport-auto-deposit-taken/37618785
BMW 320 se,2016,2.0 Diesel,"238,000 km","€11,750",/cars-for-sale/bmw-320-se/37513647
BMW 320D,2015,2.0 Diesel,"157,000 mi","€12,500",/cars-for-sale/bmw-320d/35421596
BMW 320D M-SPORT (152),2015,2.0 Diesel,"155,000 mi","€12,750",/cars-for-sale/bmw-320d-m-sport-152/37537639
Autovision Motor Co,Independent Dealer,2016,2.0 Diesel,"€13,995",/cars-for-sale/2016-bmw-320d-efficiency-dynamics-plus-finance/37345860
*Low Miles* BMW 320D M-Sport,2014,2.0 Diesel,"113,000 mi","€16,900",/cars-for-sale/low-miles-bmw-320d-m-sport/37512751
BMW 3-Series 2014,2014,2.0 Diesel,"257,500 km","€8,995",/cars-for-sale/bmw-3-series-2014/37616966
Michael Barrable Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€21,950",/cars-for-sale/bmw-3-series-2-0l-petrol-plug-in-hybrid-m-sport/37616676
