title,engine_size,engine_type,total_kms,price,link
Bloomfield Car Sales,Independent Dealer,2015,2.1 Diesel,"€15,950",/cars-for-sale/mercedes-benz-c-class-2015-c220d-auto-nct-tax/37206201
Marble City Motors,Independent Dealer,2016,1.6 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-class-c200-d-sport-4dr/37173930
Mercedes-Benz C350e Sport Plus Premium,2016,2.0 Petrol Plug-in Hybrid,"166,000 mi","€14,000",/cars-for-sale/mercedes-benz-c350e-sport-plus-premium/36517116
MERCEDES C350E HYBRID 275 BHP - Quick Sale,2015,2.0 Petrol Plug-in Hybrid,"225,469 km","€14,000",/cars-for-sale/mercedes-c350e-hybrid-275-bhp-quick-sale/37217714
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
Naas Road Autos,Independent Dealer,2016,2.0 Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-hybrid-sport-4dr-salo/37465387?campaign=3
Kearys CarStore,Independent Dealer4.4/5,2016,2.1 Diesel,"€23,888",/cars-for-sale/mercedes-benz-c-class-c220-220-d-2dr-auto/28935491?campaign=3
Windsor MotorMall,Franchise Dealer4.7/5,2016,2.1 Diesel,"€23,995",/cars-for-sale/mercedes-benz-c-class-c220-d-sport-2dr-auto/37455396
Kearys CarStore,Independent Dealer4.4/5,2016,2.0 Petrol Plug-in Hybrid,"€20,888",/cars-for-sale/mercedes-benz-c-class-c350-e-sport-premium-plus-5/37096581
MotorWay,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-c200-sport-automatic/36673987
Ratoath Motor Centre,Independent Dealer,2016,1.6 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-class-200-d-amg/36308104
Ballywire SALES,Independent Dealer,2016,1.6 Diesel,"€20,000",/cars-for-sale/mecedes-c-class-night-edition/37137098
John White Car Sales Ltd,Independent Dealer,2014,2.1 Diesel,"€13,950",/cars-for-sale/mercedes-benz-c-class-2014-amg-sport/36642884
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"129,000 mi","€13,500",/cars-for-sale/mercedes-benz-c-class-2015/36861734
Michael Grant Motors,Independent Dealer4.6/5,2015,1.6 Diesel,"€17,295",/cars-for-sale/mercedes-benz-c-class-c180d-bluetec-irish-car-o/37510697
Thule roof bars,2015,2.1 Diesel Hybrid,9 days,€130,/cars-for-sale/thule-roof-bars/37592872
Mercedes C220d 2016,2016,2.1 Diesel,"147,000 km","€18,500",/cars-for-sale/mercedes-c220d-2016/37442843
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"123,000 mi","€12,950",/cars-for-sale/mercedes-benz-c-class-2014/37591135
Mercedes Benz - Hybrid/Diesel,2015,2.1 Diesel Hybrid,"180,000 km","€13,975",/cars-for-sale/mercedes-benz-hybrid-diesel/35775088
Motorcare Cars & Customising,Independent Dealer,2015,2.1 Diesel Hybrid,"€15,950",/cars-for-sale/2015-mercedes-benz-c300h-amg-line-premium-plus/37305514
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"138,900 km","€18,000",/cars-for-sale/mercedes-benz-c-class-2014/37588969
E & D Motors,Independent Dealer,2016,1.6 Diesel,"€16,800",/cars-for-sale/mercedes-benz-c-class-2016-low-miles-warranty/37388484
West Dublin Motor Company,Independent Dealer,2014,2.1 Diesel,"€12,495",/cars-for-sale/mercedes-benz-c-class-200-cdi-avantgarde-edition/37581056
Mercedes Benz c200 d se,2016,1.6 Diesel,"162,000 mi","€11,950",/cars-for-sale/mercedes-benz-c200-d-se/37580565
Kerry Customs Ltd,Independent Dealer,2015,2.0 Petrol Plug-in Hybrid,"€12,999",/cars-for-sale/deposit-taken/37126483
DG Cars & 4X4 LTD,Independent Dealer,2015,2.1 Diesel,€0,/cars-for-sale/2015-mercedes-c220-sport-automatic/36593580
DG Cars & 4X4 LTD,Independent Dealer,2015,2.1 Diesel,"€17,250",/cars-for-sale/2015-mercedes-c220-2-1-d-sport-bluetec-auto/36997470
DG Cars & 4X4 LTD,Independent Dealer,2016,2.1 Diesel,"€18,995",/cars-for-sale/2016-mercedes-c220-amg-line-automatic/37512480
Southern Motors,Independent Dealer,2015,2.0 Petrol,"€17,650",/cars-for-sale/2015-mercedes-c200-sport-auto-2-0-petrol-184-bhp/37513488
McGrath Motors,Independent Dealer,2016,1.6 Diesel,"€16,999",/cars-for-sale/mercedes-benz-c-class-2016-bluetech-auto/37576422
Ratoath Motor Centre,Independent Dealer,2015,1.6 Petrol,"€21,333",/cars-for-sale/mercedes-benz-c-class-180-amg/37155503
BB Motors Kildare,Independent Dealer,2014,2.1 Diesel,"€13,950",/cars-for-sale/mercedes-benz-c-200-cdi-avantgarde/37525202
JJCA Motors LTD,Independent Dealer,2016,2.1 Diesel,"€18,750",/cars-for-sale/mercedes-benz-c-class-2016-stunning/37033054
Weirs Motors,Independent Dealer,2015,2.1 Diesel,"€22,900",/cars-for-sale/mercedes-benz-c-class-c220-d-amg-line-premium-4dr/37573120
Mellotte Motors,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-benz-c-class-c180-auto/36562251
McGrath Motors,Independent Dealer,2014,2.1 Diesel,"€6,500",/cars-for-sale/mercedes-benz-c-class-2014/37571543
N7 Motors,Independent Dealer,2015,2.1 Diesel Hybrid,"€21,450",/cars-for-sale/2015-mercedes-benz-c-class-c-series-amg-line-prem/36941659
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329?campaign=3
Centrepoint Autos Ltd,Independent Dealer,2015,2.1 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-class-amg-line-bluetec-auto/36122812?campaign=3
N7 Motors,Independent Dealer,2015,2.1 Diesel,"€18,950",/cars-for-sale/2015-mercedes-benz-c-class-c-series-d-amg-line-pr/37035944
LMR Car Sales,Independent Dealer,2016,2.1 Diesel,"€22,950",/cars-for-sale/mercedes-c-class-amg-line-premium/37566185
Jonathan O Brien Car Sales,Independent Dealer,2015,1.6 Diesel,"€15,750",/cars-for-sale/mercedes-benz-c-class-200-bluetec-amg-free-delive/36841657
Strang Motors Ltd.,Independent Dealer,2014,2.1 Diesel,"€13,500",/cars-for-sale/mercedes-benz-c220-cdi-2014/36555109
16 Mercedes-Benz C-Class 200 AUTO,2016,1.6 Diesel,"117,231 mi","€14,400",/cars-for-sale/16-mercedes-benz-c-class-200-auto/31210481
Lux Car Sales,Independent Dealer,2016,2.1 Diesel,"€17,950",/cars-for-sale/2016-mercedes-benz-c220d-amg-new-nct-till-07-26/37293165
Clifford Barron Auto Solutions,Independent Dealer,2016,1.6 Diesel,"€23,995",/cars-for-sale/mercedes-benz-c-class-c180d-16-000-km-nct-tax-ser/37349572
Autoview Cars Ltd,Independent Dealer,2016,2.1 Diesel,"€23,995",/cars-for-sale/mercedes-benz-c-class-c220d-automatic-nationwide/36927558
Mercedes-Benz C220d AMG Premium Plus Coupe Manual,2015,2.1 Diesel,"141,000 km","€12,750",/cars-for-sale/mercedes-benz-c220d-amg-premium-plus-coupe-manual/37335341
Mercedes Benz C-Class Sport 1.6L Diesel,2016,1.6 Diesel,"229,000 km","€9,950",/cars-for-sale/mercedes-benz-c-class-sport-1-6l-diesel/37332260
Mercedes - Benz C250 AMG sport NCT 07/25,2014,2.1 Diesel,"146,000 mi","€12,500",/cars-for-sale/mercedes-benz-c250-amg-sport-nct-07-25/37236200
Mercedes-Benz C250 AMG LINE PREMIUM PLUS,2015,2.1 Diesel,"110,600 mi","€21,000",/cars-for-sale/mercedes-benz-c250-amg-line-premium-plus/37543133
Low kms Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"158,000 km","€14,500",/cars-for-sale/low-kms-mercedes-benz-c-class-2014/36226424
